TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2023-01-01,2023-04-01,24160000000.0,-6,1.53,2,1.52,2
AAPL,2021-12-26,2022-03-26,25010000000.0,-6,1.54,2,1.52,2
AAPL,2022-09-25,2023-04-01,54158000000.0,-6,3.42,2,3.41,2
AAPL,2021-09-26,2022-03-26,59640000000.0,-6,3.65,2,3.62,2
AAPL,2022-09-25,2022-12-31,29998000000.0,-6,1.89,2,1.88,2
AAPL,2021-09-26,2021-12-25,34630000000.0,-6,2.11,2,2.1,2
AAPL,2021-09-26,2022-09-24,99803000000.0,-6,6.15,2,6.11,2
AAPL,2020-09-27,2021-09-25,94680000000.0,-6,5.67,2,5.61,2
AAPL,2019-09-29,2020-09-26,57411000000.0,-6,3.31,2,3.28,2
AAPL,2022-03-27,2022-06-25,19442000000.0,-6,1.2,2,1.2,2
AAPL,2021-03-28,2021-06-26,21744000000.0,-6,1.31,2,1.3,2
AAPL,2021-09-26,2022-06-25,79082000000.0,-6,4.86,2,4.82,2
AAPL,2020-09-27,2021-06-26,74129000000.0,-6,4.42,2,4.38,2
AAPL,2020-12-27,2021-03-27,23630000000.0,-6,1.41,2,1.4,2
AAPL,2020-09-27,2021-03-27,52385000000.0,-6,3.11,2,3.08,2
AAPL,2020-09-27,2020-12-26,28755000000.0,-6,1.7,2,1.68,2
AAPL,2018-09-30,2019-09-28,55256000000.0,-6,2.99,2,2.97,2
AAPL,2020-03-29,2020-06-27,11253000000.0,-6,0.65,2,0.65,2
AAPL,2019-09-29,2020-06-27,44738000000.0,-6,2.56,2,2.54,2
AAPL,2019-12-29,2020-03-28,11249000000.0,-6,0.64,2,0.64,2
AAPL,2019-09-29,2020-03-28,33485000000.0,-6,1.91,2,1.89,2
AAPL,2019-09-29,2019-12-28,22236000000.0,-6,1.26,2,1.25,2
