TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
NVDA,2022-01-31,2023-01-29,4368000000.0,-6,1.76,2,1.74,2
NVDA,2021-02-01,2022-01-30,9752000000.0,-6,3.91,2,3.85,2
NVDA,2020-01-27,2021-01-31,4332000000.0,-6,1.76,2,1.73,2
GOOG,2022-01-01,2022-03-31,101000000.0,-6,1.24,2,1.23,2
GOOG,2023-01-01,2023-03-31,-215000000.0,-6,1.18,2,1.17,2
AMZN,2022-01-01,2022-03-31,-3844000000.0,-6,-0.38,2,-0.38,2
AMZN,2023-01-01,2023-03-31,3172000000.0,-6,0.31,2,0.31,2
AMZN,2021-04-01,2022-03-31,21413000000.0,-6,,,,
AMZN,2022-04-01,2023-03-31,4294000000.0,-6,,,,
AMZN,2021-01-01,2021-12-31,-4688000000.0,-6,,,,
AMZN,2022-01-01,2022-12-31,-6752000000.0,-6,,,,
PCAR,2023-01-01,2023-03-31,-700000.0,-5,1.4,2,1.4,2
PCAR,2022-01-01,2022-03-31,-4400000.0,-5,1.15,2,1.15,2
BRK59,2023-01-01,2023-03-31,35504000000.0,-6,16.25,2,,
BRK59,2022-01-01,2022-03-31,5580000000.0,-6,2.52,2,,
BRK59,2023-02-01,2023-03-31,83000000.0,-6,,,,
TSLA,2023-01-01,2023-03-31,2513000000.0,-6,0.8,2,0.73,2
TSLA,2022-01-01,2022-03-31,3318000000.0,-6,1.07,2,0.95,2
UNH,2023-01-01,2023-03-31,5611000000.0,-6,6.01,2,5.95,2
UNH,2022-01-01,2022-03-31,5027000000.0,-6,5.34,2,5.27,2
JPM/32,2023-01-01,2023-03-31,12622000000.0,-6,4.11,2,4.1,2
JPM/32,2022-01-01,2022-03-31,8282000000.0,-6,2.64,2,2.63,2
